"ID_Fahrzeug","ID_T01","Fehlerhaft_Datum_T01","Fehlerhaft_Fahrleistung_T01","ID_T02","Fehlerhaft_Datum_T02","Fehlerhaft_Fahrleistung_T02"
"11-1-11-551828","1-202-2021-596026",2014-02-27,32556.12,"2-201-2011-448577",2014-01-01,35454.8164383562
"11-1-12-365653","1-202-2021-597029",2014-03-02,32623.25,"2-202-2022-1045542",2014-01-01,35289.1397260274
"11-1-11-553654","1-202-2021-596669",2014-03-01,32556.12,"2-202-2022-1046329",2014-01-02,35371.9780821918
"11-1-12-366026","1-202-2021-595562",2014-02-26,32354.75,"2-202-2022-1045877",2014-01-01,35289.1397260274
"11-1-11-553939","1-202-2021-598014",2014-03-04,32757.5,"2-202-2022-1047278",2014-01-03,35454.8164383562
"11-1-11-553720","1-202-2021-597566",2014-03-03,32690.38,"2-201-2011-448719",2014-01-01,35289.1397260274
"11-1-12-366065","1-202-2021-597196",2014-03-02,32623.25,"2-202-2022-1046682",2014-01-02,35371.9780821918
"11-1-11-554696","1-202-2021-595724",2014-02-27,32421.87,"2-202-2022-1045512",2014-01-01,35289.1397260274
"11-1-12-366351","1-202-2021-596210",2014-02-28,32489,"2-201-2011-449040",2014-01-02,35371.9780821918
"11-1-11-554142","1-202-2021-598008",2014-03-04,32757.5,"2-202-2022-1046510",2014-01-02,35371.9780821918
"11-1-11-554368","1-202-2021-597809",2014-03-03,32690.38,"2-202-2022-1047902",2014-01-04,35537.6547945205
"11-1-11-554375","1-202-2021-597652",2014-03-03,32690.38,"2-202-2022-1046883",2014-01-02,35371.9780821918
"11-1-12-366493","1-202-2021-597183",2014-03-02,32623.25,"2-202-2022-1045499",2014-01-01,35289.1397260274
"11-1-12-366818","1-202-2021-596585",2014-03-01,32556.12,"2-202-2022-1047190",2014-01-03,35454.8164383562
"11-1-11-555172","1-202-2021-597856",2014-03-03,32690.38,"2-202-2022-1047285",2014-01-03,35454.8164383562
"11-1-12-366905","1-202-2021-598983",2014-03-06,32891.75,"2-201-2011-449547",2014-01-04,35537.6547945205
"11-1-11-554989","1-202-2021-597810",2014-03-03,32690.38,"2-202-2022-1046643",2014-01-02,35371.9780821918
"11-1-11-554996","1-202-2021-595767",2014-02-27,32421.87,"2-202-2022-1045793",2014-01-01,35289.1397260274
"11-1-12-367046","1-202-2021-599183",2014-03-06,32891.75,"2-202-2022-1048097",2014-01-04,35537.6547945205
"11-1-12-367061","1-202-2021-599484",2014-03-07,32958.88,"2-202-2022-1050085",2014-01-07,35786.1698630137
"11-1-11-555325","1-202-2021-596910",2014-03-01,32556.12,"2-201-2011-448735",2014-01-01,35289.1397260274
"11-1-12-367194","1-202-2021-599703",2014-03-08,33026.01,"2-201-2011-450228",2014-01-06,35703.3315068493
"11-1-12-367307","1-202-2021-597115",2014-03-02,32623.25,"2-202-2022-1047253",2014-01-03,35454.8164383562
"11-1-11-555048","1-202-2021-600147",2014-03-09,33093.13,"2-201-2011-450896",2014-01-08,35869.0082191781
"11-1-11-556011","1-202-2021-598176",2014-03-04,32757.5,"2-202-2022-1047776",2014-01-04,35537.6547945205
"11-1-11-555801","1-202-2021-600831",2014-03-10,33160.26,"2-202-2022-1048633",2014-01-05,35620.4931506849
"11-1-12-789984","1-202-2021-600213",2014-03-09,33093.13,"2-202-2022-1051395",2014-01-08,35869.0082191781
"11-1-11-556044","1-202-2021-600038",2014-03-08,33026.01,"2-201-2011-450622",2014-01-07,35786.1698630137
"11-1-12-367568","1-202-2021-598183",2014-03-04,32757.5,"2-202-2022-1048855",2014-01-05,35620.4931506849
"11-1-12-367579","1-202-2021-600206",2014-03-09,33093.13,"2-201-2011-450723",2014-01-07,35786.1698630137
"11-1-11-556479","1-202-2021-598554",2014-03-05,32824.63,"2-202-2022-1048968",2014-01-05,35620.4931506849
"11-1-11-555885","1-202-2021-597575",2014-03-03,32690.38,"2-201-2011-449633",2014-01-04,35537.6547945205
"11-1-11-555560","1-202-2021-600132",2014-03-09,33093.13,"2-202-2022-1051531",2014-01-08,35869.0082191781
"11-1-12-368011","1-202-2021-598721",2014-03-05,32824.63,"2-202-2022-1050527",2014-01-07,35786.1698630137
"11-1-12-368030","1-202-2021-601112",2014-03-11,33227.38,"2-202-2022-1051468",2014-01-08,35869.0082191781
"11-1-11-556241","1-202-2021-600564",2014-03-10,33160.26,"2-202-2022-1053272",2014-01-11,36117.5232876712
"11-1-12-368079","1-202-2021-599219",2014-03-07,32958.88,"2-202-2022-1050333",2014-01-07,35786.1698630137
"11-1-12-368113","1-202-2021-597981",2014-03-04,32757.5,"2-202-2022-1050764",2014-01-07,35786.1698630137
"11-1-12-368164","1-202-2021-598842",2014-03-06,32891.75,"2-202-2022-1049258",2014-01-06,35703.3315068493
"11-1-12-368185","1-202-2021-597550",2014-03-03,32690.38,"2-202-2022-1050011",2014-01-06,35703.3315068493
"11-1-11-556328","1-202-2021-598027",2014-03-04,32757.5,"2-201-2011-450190",2014-01-06,35703.3315068493
"11-1-11-556961","1-202-2021-599695",2014-03-08,33026.01,"2-201-2011-450540",2014-01-07,35786.1698630137
"11-1-11-556971","1-202-2021-601321",2014-03-11,33227.38,"2-202-2022-1052935",2014-01-10,36034.6849315068
"11-1-11-557213","1-202-2021-601924",2014-03-13,33294.51,"2-202-2022-1055116",2014-01-13,36200.3616438356
"11-1-12-368262","1-202-2021-602234",2014-03-13,33361.64,"2-202-2022-1051661",2014-01-09,35951.8465753425
"11-1-11-557261","1-202-2021-601171",2014-03-11,33160.26,"2-202-2022-1050873",2014-01-08,35786.1698630137
"11-1-11-556721","1-202-2021-598020",2014-03-04,32757.5,"2-202-2022-1049233",2014-01-05,35620.4931506849
"11-1-11-557044","1-202-2021-601786",2014-03-12,33227.38,"2-202-2022-1052083",2014-01-09,35869.0082191781
"11-1-11-557144","1-202-2021-601500",2014-03-12,33227.38,"2-201-2011-451925",2014-01-11,36034.6849315068
"11-1-11-557148","1-202-2021-600220",2014-03-09,33026.01,"2-202-2022-1052592",2014-01-10,35951.8465753425
"11-1-12-368928","1-202-2021-601889",2014-03-13,33294.51,"2-202-2022-1053057",2014-01-10,35951.8465753425
"11-1-11-558206","1-202-2021-599895",2014-03-08,32958.88,"2-202-2022-1050611",2014-01-07,35703.3315068493
"11-1-11-558232","1-202-2021-599634",2014-03-08,32958.88,"2-202-2022-1050189",2014-01-07,35703.3315068493
"11-1-12-369115","1-202-2021-603836",2014-03-17,33563.01,"2-202-2022-1054337",2014-01-12,36117.5232876712
"11-1-12-369145","1-202-2021-602109",2014-03-13,33294.51,"2-202-2022-1055037",2014-01-13,36200.3616438356
"11-1-11-558540","1-202-2021-600642",2014-03-10,32891.75,"2-202-2022-1052847",2014-01-10,35703.3315068493
"11-1-11-557852","1-202-2021-601987",2014-03-13,33294.51,"2-202-2022-1053041",2014-01-10,35951.8465753425
"11-1-11-557904","1-202-2021-601452",2014-03-12,33227.38,"2-201-2011-451745",2014-01-11,36034.6849315068
"11-1-11-558852","1-202-2021-603890",2014-03-17,33361.64,"2-202-2022-1057082",2014-01-16,36200.3616438356
"11-1-11-558994","1-202-2021-603828",2014-03-17,33361.64,"2-201-2011-453257",2014-01-15,36117.5232876712
"11-1-11-559293","1-202-2021-600669",2014-03-10,32690.38,"2-202-2022-1054093",2014-01-12,35620.4931506849
"11-1-12-369648","1-202-2021-603722",2014-03-17,33361.64,"2-201-2011-452399",2014-01-13,35951.8465753425
"11-1-11-558691","1-202-2021-602932",2014-03-15,33227.38,"2-202-2022-1054758",2014-01-13,35951.8465753425
"11-1-11-559331","1-202-2021-599286",2014-03-07,32421.87,"2-202-2022-1052772",2014-01-10,35371.9780821918
"11-1-11-559433","1-202-2021-604313",2014-03-18,33160.26,"2-201-2011-452799",2014-01-14,35703.3315068493
"11-1-12-788351","1-202-2021-600648",2014-03-10,32690.38,"2-202-2022-1054065",2014-01-12,35620.4931506849
"11-1-11-559080","1-202-2021-604334",2014-03-18,33227.38,"2-202-2022-1056941",2014-01-16,35951.8465753425
"11-1-11-559103","1-202-2021-604170",2014-03-18,33227.38,"2-202-2022-1056597",2014-01-15,35869.0082191781
"11-1-12-370008","1-202-2021-603329",2014-03-16,32824.63,"2-202-2022-1055148",2014-01-13,35371.9780821918
"11-1-11-560079","1-202-2021-603050",2014-03-15,32556.12,"2-202-2022-1057493",2014-01-16,35371.9780821918
